Order_Date,Customer_ID,Order_ID,Quantity,City,District,Catalog_Number,Hebrew_Description,English_Description,Added_Date,Family_Item_ID,Family_Item_Name,Sales_Price_No_VAT,Sales_Price_With_VAT,Cost_Price,Cost_Import_USD,Cost_Production_USD,Size,Color_ID,Color_Name
4/3/2022,100110,SO22000098,1,Ir ha-Karmel,חיפה,NHD1001-15-2,ינג כחול כיסוי 100% כותנה במילוי מיקרופייבר 400 גר' 150/200,400GSM PREMIUM MICROFIBER BLANKET BLUE PIPING 15,5/31/2021,שמיכות,שמיכות,427,499,15,0,0,150/200,2,PAGEANT BLUE
4/3/2022,100110,SO22000098,3,Ir ha-Karmel,חיפה,NHD1002-15-2,שמיכת פוך פייפינג כיסוי 100% כותנה מיקרופייבר 600 גר' 150/2,600GSM PREMIUM MICROFIBER BLANKET BLUE PIPING 15,5/31/2021,שמיכות,שמיכות,469,549,17,0,0,150/200,2,PAGEANT BLUE
4/3/2022,100110,SO22000098,1,Ir ha-Karmel,חיפה,NHT3004-15-16,מגבת גוף  אפור כהה 100% כותנה 600 גר' 90/150,Body towel 100% cotton Aqua Fibro 600 gsm 90x150,5/31/2021,מגבות,מגבות אקווה פיברו,196,229,10,0,0,90/150,16,Bruschetta
4/3/2022,100110,SO22000098,1,Ir ha-Karmel,חיפה,NHT3005-15-26,מגבת גוף טורקיז  100% כותנה 600 גר' 90/150,Body towel 100% cotton Aqua Fibro 600 gsm 90x150,5/31/2021,מגבות,מגבות אקווה פיברו,196,229,10,0,0,90/150,26,Peach Bud
4/3/2022,100110,SO22000098,1,Ir ha-Karmel,חיפה,NHT3006-15-23,מגבת פסים 150X90 כחול 600 גר',STRIPE TOWEL 150X90 BLUE 600 GSM,12/15/2021,מגבות,מגבות אקווה פיברו,213,249,10,0,0,150/90,23,China Blue
4/3/2022,100110,SO22000098,1,Ir ha-Karmel,חיפה,NHT3006-15-24,מגבת גוף תכלת  100% כותנה 600 גר' 90/150,Body towel 100% cotton Aqua Fibro 600 gsm 90x150,5/31/2021,מגבות,מגבות אקווה פיברו,196,229,10,0,0,90/150,24,Peach Dust
4/3/2022,100111,SO22000099,1,Herzliya,תל אביב,NHB5080-16-3,"סט 100% כותנה סטן 220 160 סמ DEEP WATER""",100% CTS. 220 200x220+160x200+2x50x70 DEEP WATER,5/31/2021,220S,סאטן 220,597,699,25,0,0,160/200,3,CURDS & WHEY
4/3/2022,100111,SO22000099,1,Ra'anana, מרכז,NHB5080-16-3,"סט 100% כותנה סטן 220 160 סמ DEEP WATER""",100% CTS. 220 200x220+160x200+2x50x70 DEEP WATER,5/31/2021,220S,סאטן 220,597,699,25,0,0,160/200,3,CURDS & WHEY
4/3/2022,100111,SO22000099,1,Herzliya,תל אביב,NHB5195-16-25,"סט 100% כותנה סטן 220 160 סמ  LOST AT SEA""",100% CTS. 220 200x220+160x200+2x50x70 LOST AT SE,5/31/2021,220S,סאטן 220,597,699,0,0,0,160/200,25,Sunburn
4/3/2022,100111,SO22000099,1,Ra'anana, מרכז,NHB5195-16-25,"סט 100% כותנה סטן 220 160 סמ  LOST AT SEA""",100% CTS. 220 200x220+160x200+2x50x70 LOST AT SE,5/31/2021,220S,סאטן 220,597,699,0,0,0,160/200,25,Sunburn
